group_id,event,ambiguousflag,track_id,filename,video,datetime,tagid,mergethreshold,eventid
0,x,x,6110,20second/track_06110_20s.png,5_02_R_190807150000.cfr.mp4,22:31.3,0,20s,0__6110
1,exiting,o,15926,20second/track_15926_20s.png,30_02_R_190808150000.cfr.mp4,45:27.4,10,20s,10__15926
2,entering,o,15368,20second/track_15368_20s.png,6_02_R_190807160000.cfr.mp4,50:43.8,25,20s,25__15368
3,exiting,o,10358,20second/track_10358_20s.png,29_02_R_190808140000.cfr.mp4,37:53.6,33,20s,33__10358
4,exiting,o,8103,20second/track_08103_20s.png,27_02_R_190808120000.cfr.mp4,25:23.0,40,20s,40__8103
5,entering,o,4447,20second/track_04447_20s.png,2_02_R_190807120000.cfr.mp4,15:51.1,83,20s,83__4447
6,exiting,o,15240,20second/track_15240_20s.png,4_02_R_190807140000.cfr.mp4,59:22.9,83,20s,83__15240
7,entering,o,9016,20second/track_09016_20s.png,5_02_R_190807150000.cfr.mp4,31:46.9,83,20s,83__9016
8,exiting,o,18201,20second/track_18201_20s.png,31_02_R_190808160000.cfr.mp4,33:23.5,83,20s,83__18201
9,exiting-entering,,13174,20second/track_13174_20s.png,5_02_R_190807150000.cfr.mp4,48:04.7,102,20s,102__13174_13194_13274_13303
10,exiting-entering,o,13521,20second/track_13521_20s.png,5_02_R_190807150000.cfr.mp4,48:56.0,102,20s,102__13521
11,exiting-entering,o,13735,20second/track_13735_20s.png,5_02_R_190807150000.cfr.mp4,50:18.5,102,20s,102__13735
12,exiting,,3790,20second/track_03790_20s.png,6_02_R_190807160000.cfr.mp4,14:50.0,102,20s,102__3790_3814_3902_4012_4093
13,entering,,4304,20second/track_04304_20s.png,6_02_R_190807160000.cfr.mp4,15:51.0,102,20s,102__4304_4439_4508_4519
14,exiting-entering,o,4526,20second/track_04526_20s.png,6_02_R_190807160000.cfr.mp4,16:09.7,102,20s,102__4526_4573
15,exiting,,6213,20second/track_06213_20s.png,6_02_R_190807160000.cfr.mp4,23:29.0,102,20s,102__6213_6348_6407_6424
16,exiting,,14602,20second/track_14602_20s.png,28_02_R_190808130000.cfr.mp4,54:20.8,102,20s,102__14602_14936_14986
17,exiting-entering,o,4994,20second/track_04994_20s.png,31_02_R_190808160000.cfr.mp4,12:07.0,102,20s,102__4994
18,x,x,5403,20second/track_05403_20s.png,31_02_R_190808160000.cfr.mp4,12:48.1,102,20s,102__5403
19,exiting,o,4718,20second/track_04718_20s.png,27_02_R_190808120000.cfr.mp4,16:07.8,116,20s,116__4718
20,exiting,o,9556,20second/track_09556_20s.png,29_02_R_190808140000.cfr.mp4,34:55.9,116,20s,116__9556
21,exiting,o,9147,20second/track_09147_20s.png,30_02_R_190808150000.cfr.mp4,27:21.8,116,20s,116__9147
22,exiting,o,15371,20second/track_15371_20s.png,31_02_R_190808160000.cfr.mp4,27:43.1,121,20s,121__15371
23,exiting-entering,o,6024,20second/track_06024_20s.png,2_02_R_190807120000.cfr.mp4,21:45.6,144,20s,144__6024
24,x,x,6177,20second/track_06177_20s.png,2_02_R_190807120000.cfr.mp4,22:16.8,144,20s,144__6177
25,x,x,16335,20second/track_16335_20s.png,27_02_R_190808120000.cfr.mp4,52:33.0,144,20s,144__16335_16358_16437_16455_16466
26,exiting-entering,o,17218,20second/track_17218_20s.png,27_02_R_190808120000.cfr.mp4,55:43.8,144,20s,144__17218
27,exiting-entering,,17605,20second/track_17605_20s.png,27_02_R_190808120000.cfr.mp4,58:08.1,144,20s,144__17605_17615_17684_17741
28,exiting-entering,,2770,20second/track_02770_20s.png,28_02_R_190808130000.cfr.mp4,11:32.5,144,20s,144__2770_2874
29,exiting,o,2524,20second/track_02524_20s.png,31_02_R_190808160000.cfr.mp4,06:46.6,144,20s,144__2524
30,x,x,9128,20second/track_09128_20s.png,29_02_R_190808140000.cfr.mp4,33:40.8,168,20s,168__9128
31,exiting,,3789,20second/track_03789_20s.png,27_02_R_190808120000.cfr.mp4,13:30.2,176,20s,176__3789_3904_3939
32,exiting,o,6758,20second/track_06758_20s.png,5_02_R_190807150000.cfr.mp4,23:54.0,186,20s,186__6758
33,exiting,o,1740,20second/track_01740_20s.png,3_02_R_190807130000.cfr.mp4,08:22.5,187,20s,187__1740
34,x,x,2475,20second/track_02475_20s.png,3_02_R_190807130000.cfr.mp4,11:53.5,187,20s,187__2475_2536_2541
35,exiting-entering,o,5194,20second/track_05194_20s.png,3_02_R_190807130000.cfr.mp4,32:07.3,187,20s,187__5194
36,exiting,,5613,20second/track_05613_20s.png,3_02_R_190807130000.cfr.mp4,34:50.3,187,20s,187__5613_5731
37,x,x,6750,20second/track_06750_20s.png,3_02_R_190807130000.cfr.mp4,38:13.7,187,20s,187__6750
38,exiting-entering,o,9099,20second/track_09099_20s.png,3_02_R_190807130000.cfr.mp4,49:34.9,187,20s,187__9099
39,entering,o,9146,20second/track_09146_20s.png,3_02_R_190807130000.cfr.mp4,49:52.0,187,20s,187__9146_9210_9226_9245
40,x,x,10951,20second/track_10951_20s.png,5_02_R_190807150000.cfr.mp4,38:17.2,187,20s,187__10951
41,exiting,o,20417,20second/track_20417_20s.png,30_02_R_190808150000.cfr.mp4,57:48.4,187,20s,187__20417
42,exiting,o,663,20second/track_00663_20s.png,1_02_R_190807110000.cfr.mp4,02:31.5,199,20s,199__663
