group_id,event,ambiguousflag,track_id,filename,video,frame,datetime,tagid,mergethreshold,eventid,short_interruption,complex,comment,error,to_review,labelbee_valid
0,x,x,6110,5second/track_06110_5s.png,5_02_R_190807150000.cfr.mp4,26401,2019-08-07 15:22:31.300,0,5s,0__6110,,,end_on_ramp,,,
1,D,,15926,5second/track_15926_5s.png,30_02_R_190808150000.cfr.mp4,54501,2019-08-08 15:45:27.400,10,5s,10__15926,,,,,,
2,U,,15368,5second/track_15368_5s.png,6_02_R_190807160000.cfr.mp4,60809,2019-08-07 16:50:43.800,25,5s,25__15368,,,,,,
3,D,,10358,5second/track_10358_5s.png,29_02_R_190808140000.cfr.mp4,45460,2019-08-08 14:37:53.600,33,5s,33__10358,,,,,,
4,D,,8103,5second/track_08103_5s.png,27_02_R_190808120000.cfr.mp4,30430,2019-08-08 12:25:23.000,40,5s,40__8103,,,,,,
5,U,,4447,5second/track_04447_5s.png,2_02_R_190807120000.cfr.mp4,18897,2019-08-07 12:15:51.100,83,5s,83__4447,,,,,,
6,D,,15240,5second/track_15240_5s.png,4_02_R_190807140000.cfr.mp4,71028,2019-08-07 14:59:22.950,83,5s,83__15240,,,,,,
7,U,,9016,5second/track_09016_5s.png,5_02_R_190807150000.cfr.mp4,38120,2019-08-07 15:31:46.950,83,5s,83__9016,,,,,,
8,D,,18201,5second/track_18201_5s.png,31_02_R_190808160000.cfr.mp4,40050,2019-08-08 16:33:23.500,83,5s,83__18201,,,,,,
9,DU,,13174,5second/track_13174_5s.png,5_02_R_190807150000.cfr.mp4,57164,2019-08-07 15:47:49.050,102,5s,102__13174_13194,,x,complex u-turn,,,
10,DU,,13274,5second/track_13274_5s.png,5_02_R_190807150000.cfr.mp4,57552,2019-08-07 15:48:04.700,102,5s,102__13274_13303,x,,,,,
11,DU,,13521,5second/track_13521_5s.png,5_02_R_190807150000.cfr.mp4,58645,2019-08-07 15:48:56.050,102,5s,102__13521,,,,,,
12,DU,,13735,5second/track_13735_5s.png,5_02_R_190807150000.cfr.mp4,60085,2019-08-07 15:50:18.550,102,5s,102__13735,,,,,,
13,DU,x,3790,5second/track_03790_5s.png,6_02_R_190807160000.cfr.mp4,16043,2019-08-07 16:13:24.750,102,5s,102__3790,,,stay_at_entrance,,,True
14,DU,,3814,5second/track_03814_5s.png,6_02_R_190807160000.cfr.mp4,16233,2019-08-07 16:13:42.450,102,5s,102__3814,,,,,,
15,DU,,3902,5second/track_03902_5s.png,6_02_R_190807160000.cfr.mp4,16699,2019-08-07 16:14:11.350,102,5s,102__3902,,,,,,
16,DU,x,4012,5second/track_04012_5s.png,6_02_R_190807160000.cfr.mp4,17253,2019-08-07 16:14:30.700,102,5s,102__4012,,,stay_at_entrance,,,
17,D,,4093,5second/track_04093_5s.png,6_02_R_190807160000.cfr.mp4,17598,2019-08-07 16:14:50.050,102,5s,102__4093,,,,,,
18,U,,4304,5second/track_04304_5s.png,6_02_R_190807160000.cfr.mp4,18303,2019-08-07 16:15:25.000,102,5s,102__4304,,,,,,
19,DU,x,4439,5second/track_04439_5s.png,6_02_R_190807160000.cfr.mp4,18710,2019-08-07 16:15:42.400,102,5s,102__4439,,,stay_at_entrance,,,
20,DU,True,4508,5second/track_04508_5s.png,6_02_R_190807160000.cfr.mp4,18968,2019-08-07 16:15:51.050,102,5s,102__4508_4519,,,,,,True
21,DU,,4526,5second/track_04526_5s.png,6_02_R_190807160000.cfr.mp4,19020,2019-08-07 16:16:09.700,102,5s,102__4526_4573,,,,,,
22,D,x,6213,5second/track_06213_5s.png,6_02_R_190807160000.cfr.mp4,26957,2019-08-07 16:23:06.100,102,5s,102__6213_6348,x,x,u_turn_in_trajectory,,,
23,U,x,6407,5second/track_06407_5s.png,6_02_R_190807160000.cfr.mp4,27861,2019-08-07 16:23:29.000,102,5s,102__6407_6424,x,x,u_turn_in_trajectory,,,
24,D,,14602,5second/track_14602_5s.png,28_02_R_190808130000.cfr.mp4,62965,2019-08-08 13:53:30.900,102,5s,102__14602,,,,,,
25,U,,14936,5second/track_14936_5s.png,28_02_R_190808130000.cfr.mp4,64369,2019-08-08 13:53:43.550,102,5s,102__14936,,,,,,
26,D,,14986,5second/track_14986_5s.png,28_02_R_190808130000.cfr.mp4,64604,2019-08-08 13:54:20.800,102,5s,102__14986,,,,,,
27,DU,,4994,5second/track_04994_5s.png,31_02_R_190808160000.cfr.mp4,14415,2019-08-08 16:12:07.050,102,5s,102__4994,,,,,,
28,DU,,5403,5second/track_05403_5s.png,31_02_R_190808160000.cfr.mp4,15301,2019-08-08 16:12:48.150,102,5s,102__5403,,,,,,
29,D,,4718,5second/track_04718_5s.png,27_02_R_190808120000.cfr.mp4,19296,2019-08-08 12:16:07.800,116,5s,116__4718,,,,,,
30,D,,9556,5second/track_09556_5s.png,29_02_R_190808140000.cfr.mp4,41875,2019-08-08 14:34:55.950,116,5s,116__9556,,,,,,
31,D,,9147,5second/track_09147_5s.png,30_02_R_190808150000.cfr.mp4,32781,2019-08-08 15:27:21.850,116,5s,116__9147,,,,,,
32,D,,15371,5second/track_15371_5s.png,31_02_R_190808160000.cfr.mp4,33152,2019-08-08 16:27:43.100,121,5s,121__15371,,,,,,
33,DU,,6024,5second/track_06024_5s.png,2_02_R_190807120000.cfr.mp4,25956,2019-08-07 12:21:45.600,144,5s,144__6024,,,,,,
34,DU,False,6177,5second/track_06177_5s.png,2_02_R_190807120000.cfr.mp4,26630,2019-08-07 12:22:16.800,144,5s,144__6177,,,stay_at_entrance,,,
