tagID,datetime,event
2129,2019-08-07 11:00:41.600,exiting-entering
259,2019-08-07 11:01:37.350,exiting
693,2019-08-07 11:01:58.550,exiting
2364,2019-08-07 11:02:07.700,entering-exiting
693,2019-08-07 11:02:30.700,entering
199,2019-08-07 11:02:31.550,exiting
2364,2019-08-07 11:02:42.850,entering-exiting
2673,2019-08-07 11:03:06.000,exiting
2364,2019-08-07 11:03:31.450,entering-exiting
527,2019-08-07 11:04:23.900,exiting
2321,2019-08-07 11:05:48.200,exiting
2364,2019-08-07 11:06:02.800,entering
243,2019-08-07 11:06:12.100,exiting
199,2019-08-07 11:06:13.800,entering
2347,2019-08-07 11:06:28.000,exiting
704,2019-08-07 11:06:51.850,exiting
730,2019-08-07 11:07:20.600,entering
2289,2019-08-07 11:07:47.950,exiting
912,2019-08-07 11:09:15.350,entering
1697,2019-08-07 11:09:36.050,exiting-entering
1697,2019-08-07 11:10:04.200,exiting
1697,2019-08-07 11:10:15.650,entering
2772,2019-08-07 11:10:13.000,exiting
382,2019-08-07 11:10:35.500,exiting-entering
1697,2019-08-07 11:11:21.750,exiting-entering
1697,2019-08-07 11:11:42.200,exiting-entering
1697,2019-08-07 11:12:21.400,exiting
1697,2019-08-07 11:13:00.350,exiting-entering
1697,2019-08-07 11:13:50.250,exiting
1697,2019-08-07 11:14:16.750,entering
2364,2019-08-07 11:14:09.650,exiting
2364,2019-08-07 11:14:24.000,entering-exiting
1697,2019-08-07 11:14:33.000,exiting
220,2019-08-07 11:14:51.050,exiting
954,2019-08-07 11:15:05.800,entering-exiting
2358,2019-08-07 11:15:42.100,exiting
2364,2019-08-07 11:17:25.600,exiting
2696,2019-08-07 11:17:16.600,exiting
2663,2019-08-07 11:18:32.400,exiting
629,2019-08-07 11:19:43.150,entering-exiting
2364,2019-08-07 11:19:51.600,entering
474,2019-08-07 11:22:30.550,exiting-entering
2364,2019-08-07 11:26:35.800,exiting
359,2019-08-07 11:26:54.900,exiting
2364,2019-08-07 11:27:03.200,entering-exiting
2364,2019-08-07 11:27:34.650,entering-exiting
912,2019-08-07 11:28:42.450,exiting
2364,2019-08-07 11:29:55.000,entering
2364,2019-08-07 11:30:14.300,entering
2364,2019-08-07 11:30:25.650,exiting
2364,2019-08-07 11:31:39.200,entering
2364,2019-08-07 11:31:59.700,exiting-entering
609,2019-08-07 11:32:10.300,exiting
2674,2019-08-07 11:32:21.750,exiting
2778,2019-08-07 11:32:23.750,entering
2364,2019-08-07 11:32:46.800,exiting
2364,2019-08-07 11:34:19.450,exiting-entering
2884,2019-08-07 11:34:18.350,exiting-entering
381,2019-08-07 11:34:34.400,entering
2364,2019-08-07 11:36:50.150,exiting
2364,2019-08-07 11:37:24.000,entering
891,2019-08-07 11:37:29.350,entering
2364,2019-08-07 11:37:43.450,exiting
2364,2019-08-07 11:38:12.450,entering-exiting
488,2019-08-07 11:39:30.700,exiting-entering
2364,2019-08-07 11:39:51.650,entering
2289,2019-08-07 11:40:18.100,entering
845,2019-08-07 11:40:47.350,entering
420,2019-08-07 11:40:53.550,entering
730,2019-08-07 11:42:36.000,exiting-entering
735,2019-08-07 11:42:57.200,exiting
266,2019-08-07 11:43:46.400,entering
700,2019-08-07 11:46:17.400,entering
384,2019-08-07 11:46:47.100,exiting
410,2019-08-07 11:46:59.800,exiting-entering
382,2019-08-07 11:47:41.100,exiting-entering
2364,2019-08-07 11:48:16.700,exiting
2364,2019-08-07 11:48:42.150,entering
2364,2019-08-07 11:49:09.950,exiting
586,2019-08-07 11:49:06.050,exiting
891,2019-08-07 11:49:17.000,exiting
2428,2019-08-07 11:49:58.800,entering
2364,2019-08-07 11:50:10.000,exiting-entering
2364,2019-08-07 11:51:09.450,exiting-entering
793,2019-08-07 11:51:29.600,exiting
382,2019-08-07 11:51:43.800,exiting-entering
527,2019-08-07 11:51:53.100,exiting
2673,2019-08-07 11:51:53.700,entering
2364,2019-08-07 11:52:21.200,exiting
2709,2019-08-07 11:53:32.250,entering
220,2019-08-07 11:53:35.850,exiting
2364,2019-08-07 11:53:47.350,entering
266,2019-08-07 11:53:44.600,exiting
472,2019-08-07 11:54:07.800,exiting
2428,2019-08-07 11:55:02.750,exiting
811,2019-08-07 11:56:05.000,exiting
2673,2019-08-07 11:56:21.050,exiting
879,2019-08-07 11:56:52.550,exiting
2364,2019-08-07 11:56:53.550,exiting
2364,2019-08-07 11:57:07.400,entering-exiting
693,2019-08-07 11:58:12.100,exiting-entering
954,2019-08-07 11:58:18.250,entering
693,2019-08-07 11:58:32.450,exiting-entering
2364,2019-08-07 11:58:31.200,exiting-entering
845,2019-08-07 11:59:09.500,exiting
2364,2019-08-07 11:59:14.200,exiting-entering
1508,2019-08-07 11:59:20.000,exiting
2364,2019-08-07 11:59:22.450,exiting-entering
677,2019-08-07 11:59:25.500,exiting
2364,2019-08-07 11:59:36.850,entering
2253,2019-08-07 11:59:44.700,exiting-entering
2364,2019-08-07 11:59:59.200,exiting
2364,2019-08-07 12:00:24.750,entering-exiting
410,2019-08-07 12:00:39.750,exiting-entering
327,2019-08-07 12:00:33.600,exiting
693,2019-08-07 12:01:23.400,exiting-entering
420,2019-08-07 12:01:28.850,exiting
1373,2019-08-07 12:01:29.400,entering
472,2019-08-07 12:02:34.700,entering
693,2019-08-07 12:02:51.850,exiting
2364,2019-08-07 12:03:03.100,entering-exiting
954,2019-08-07 12:03:20.250,entering-exiting
954,2019-08-07 12:04:06.100,entering-exiting
336,2019-08-07 12:03:55.050,exiting
382,2019-08-07 12:05:07.250,exiting
693,2019-08-07 12:05:19.400,exiting-entering
2364,2019-08-07 12:05:57.100,entering
410,2019-08-07 12:06:06.650,exiting-entering
336,2019-08-07 12:06:02.000,entering
382,2019-08-07 12:06:44.350,entering
2724,2019-08-07 12:07:18.200,entering
2140,2019-08-07 12:09:35.350,exiting
2709,2019-08-07 12:09:55.600,exiting
278,2019-08-07 12:10:09.000,exiting
2543,2019-08-07 12:12:10.400,entering
472,2019-08-07 12:13:21.200,exiting
2962,2019-08-07 12:15:13.050,exiting
566,2019-08-07 12:14:58.800,exiting
2962,2019-08-07 12:18:37.400,entering
566,2019-08-07 12:15:32.200,entering
399,2019-08-07 12:15:43.800,entering
83,2019-08-07 12:15:51.100,entering
609,2019-08-07 12:15:51.200,exiting
2364,2019-08-07 12:18:58.450,exiting
2364,2019-08-07 12:19:41.900,entering-exiting
2962,2019-08-07 12:20:06.700,exiting-entering
2515,2019-08-07 12:19:50.200,entering
2624,2019-08-07 12:20:03.650,exiting
2962,2019-08-07 12:20:23.450,exiting-entering
2364,2019-08-07 12:20:38.350,entering
2364,2019-08-07 12:21:21.550,exiting-entering
144,2019-08-07 12:21:45.600,exiting-entering
2364,2019-08-07 12:21:55.750,exiting
2696,2019-08-07 12:23:22.550,exiting-entering
2364,2019-08-07 12:23:33.100,entering-exiting
2358,2019-08-07 12:23:57.700,exiting
2778,2019-08-07 12:24:15.700,entering
629,2019-08-07 12:24:37.050,entering
399,2019-08-07 12:25:15.250,exiting
221,2019-08-07 12:26:08.100,entering
2997,2019-08-07 12:26:16.800,entering
